date,trend_Ozempic,trend_semaglutide,trend_Novo Nordisk,trend_weight loss drug,price_raw,price_norm,volume,returns,volatility
2018-01-07,0.0,0.0,20.0,4.0,22.614599227905277,4.049422428617841,5486800,0.0035714527668612335,
2018-01-14,0.0,0.0,25.0,4.0,22.7385368347168,4.15654360378654,7964600,0.00109547557395316,
2018-01-21,0.0,0.0,20.0,7.0,23.87464141845703,5.138496227011497,10542600,0.01230429792105555,
2018-01-28,0.0,0.0,26.0,4.0,24.019235610961918,5.2634712061334294,11207800,0.0012258000253732397,
2018-02-04,0.0,0.0,27.0,0.0,20.85054397583008,2.524722407968095,21120800,-0.02769631189480982,0.01795304780344515
2018-02-11,0.0,0.0,21.0,6.0,20.68529319763184,2.3818936248929337,29724200,-0.0013413877242330202,0.01947838979172292
2018-02-18,0.0,0.0,24.0,5.0,21.42479515075684,3.021056509317232,14842000,0.0070777601469151005,0.02141907896097714
2018-02-25,0.0,0.0,19.0,10.0,22.27996635437012,3.7601941016768725,17438800,0.009975556745623775,0.021651027860140275
2018-03-04,0.0,0.0,23.0,4.0,20.95795440673828,2.6175588914235175,16199200,-0.01198215057719156,0.02381162089225512
2018-03-11,0.0,4.0,19.0,4.0,21.01580047607422,2.667556136695317,13892400,0.00056031190189732,0.0185029829689665
2018-03-18,0.0,0.0,21.0,6.0,20.83815193176269,2.514011774146838,13252200,-0.00168589926380928,0.01551634655965646
2018-03-25,0.0,3.0,23.0,5.0,20.309064865112305,2.0567137045436463,11800600,-0.00509698093776152,0.0140370781307919
2018-04-01,0.0,0.0,16.0,7.0,20.62737846374512,2.3318370317963586,9876200,0.004016922482924225,0.01215446832714715
2018-04-08,0.0,0.0,18.0,7.0,20.34256935119629,2.0856721459326084,12023200,-0.0027226028414693406,0.010456922955942
2018-04-15,0.0,0.0,20.0,5.0,20.585493087768555,2.2956348586834325,10378600,0.0024879484755907,0.0122328369409108
2018-04-22,4.0,0.0,18.0,5.0,19.78133583068848,1.6005894030304546,13532400,-0.00790303466510796,0.013116833502605379
2018-04-29,0.0,0.0,23.0,5.0,19.869291305541992,1.6766106694662137,19108000,0.0008967055145572601,0.01203528663100676
2018-05-06,0.0,0.0,18.0,4.0,20.015884399414062,1.8033133297093793,19412400,0.00161854692366204,0.012173995936239421
2018-05-13,0.0,0.0,20.0,4.0,20.560365676879883,2.273916851917055,14351400,0.00542261388117918,0.0120954217765361
2018-05-20,0.0,0.0,18.0,0.0,20.40539932250977,2.139977054152684,12004000,-0.0013344529008939598,0.014225220313620921
2018-05-27,5.0,0.0,15.0,5.0,19.99075508117676,1.7815936743923166,8880400,-0.00409328084978274,0.013965313977233421
2018-06-03,4.0,0.0,16.0,5.0,20.03263664245605,1.8177925504038572,16185400,0.0006085630684950504,0.0143181405503837
2018-06-10,0.0,0.0,18.0,6.0,18.818029403686523,0.7679888779538689,19478800,-0.01240388781441876,0.012956671465775699
2018-06-17,0.0,0.0,16.0,0.0,18.78033447265625,0.7354085707029265,14520000,-0.0003807243460510999,0.0115360109153312
2018-06-24,6.0,0.0,16.0,0.0,19.617996215820312,1.4594124677448694,19109000,0.00881120488129678,0.010557872300877898
2018-07-01,4.0,0.0,15.0,0.0,19.31643867492676,1.1987716582880208,18574200,-0.0030212085582632994,0.01194793772232866
2018-07-08,6.428571428571429,5.0,14.96,10.181818181818182,20.27555656433105,2.0277519660533048,14683400,0.01220028825953775,0.012611327596018851
2018-07-15,0.0,0.0,16.32,4.363636363636363,20.891237258911133,2.559894236900888,14347200,0.00607925623127984,0.01149904480945564
2018-07-22,6.428571428571429,0.0,15.64,0.0,21.125782012939453,2.7626148664784393,11695600,0.00227647725482946,0.01192664413124432
2018-07-29,0.0,0.0,19.72,4.363636363636363,21.372892379760746,2.976196147989871,12517400,0.0023411354324393797,0.01082908113919476
2018-08-05,21.42857142857143,0.0,16.32,5.090909090909091,20.94149398803711,2.6033318989843313,17073000,-0.004035150966821019,0.01041835573328624
2018-08-12,18.571428571428573,0.0,13.6,0.0,19.63056182861328,1.4702731196787464,16341200,-0.012505299928155961,0.013858329632973421
2018-08-19,11.428571428571429,0.0,20.4,5.818181818181818,20.07391166687012,1.8534671872965616,15068000,0.00454872645629862,0.01654165159961064
2018-08-26,14.285714285714286,0.0,16.32,7.272727272727273,20.81410217285156,2.493225198519295,15034000,0.0073102745389746,0.01725571634337164
2018-09-02,13.571428571428571,0.0,19.040000000000003,0.0,20.797178268432617,2.478597608262879,7317000,-0.00013290305379482019,0.01726613716412976
2018-09-09,12.857142857142858,0.0,16.32,7.272727272727273,20.2853946685791,2.0362551905030557,9193800,-0.006191419206582625,0.015540580397710974
2018-09-16,7.142857142857143,0.0,18.360000000000003,0.0,20.289623260498047,2.0399100273788005,11818600,0.00010708730582821984,0.00998951522638392
2018-09-23,8.571428571428571,0.0,17.68,4.363636363636363,20.158504486083984,1.9265820588690197,12678400,-0.00126932428758708,0.00935932309297406
2018-09-30,13.571428571428571,0.0,17.68,5.090909090909091,19.93856239318848,1.7364827333603485,14528800,-0.00215907473772134,0.00878477460465022
2018-10-07,9.285714285714286,0.0,14.28,4.363636363636363,18.59353446960449,0.5739544619524526,27083600,-0.013323618962507,0.013124430370978202
2018-10-14,7.857142857142858,0.0,14.96,5.818181818181818,17.988691329956055,0.05117925611524107,26239600,-0.0064654423278939195,0.019086348027566518
2018-10-21,12.142857142857142,0.0,21.76,0.0,18.2593936920166,0.28515146108904377,17270600,0.0030590971359483595,0.0204036016327315
2018-10-28,11.428571428571429,0.0,13.6,0.0,17.92947769165039,0.0,14650600,-0.0035718650648705803,0.02051092085514094
2018-11-04,13.571428571428571,0.0,16.32,0.0,18.492023468017575,0.4862169457756369,14913000,0.0062267831218461005,0.01943816014690224
2018-11-11,7.857142857142858,4.166666666666667,15.64,5.090909090909091,19.008039474487305,0.9322174975125843,15365000,0.0056205563079420396,0.01320454321446122
2018-11-18,9.285714285714286,0.0,16.32,4.363636363636363,18.682357788085938,0.6507258189513496,11693800,-0.0033791738042337803,0.012255839368283322
2018-11-25,10.714285714285715,0.0,15.64,5.818181818181818,19.105323791503903,1.0163018253643405,12314600,0.005989011359587175,0.0160179736088117
2018-12-02,17.142857142857142,0.0,17.0,5.090909090909091,19.71862030029297,1.5463834078516712,15710200,0.00639662766503044,0.01696578274341084
2018-12-09,9.209726443768997,0.0,18.6213698630137,4.693181818181818,19.19414710998535,1.0930731823632376,10834400,-0.0067081376678202005,0.017157478713760624
2018-12-16,9.82370820668693,5.314814814814815,18.6213698630137,0.0,19.667863845825195,1.5025138254879191,21701200,0.0049807768346160795,0.01657358461808344
2018-12-23,17.19148936170213,0.0,13.384109589041095,4.693181818181818,18.8134765625,0.7640537874611301,19054200,-0.00878355289131534,0.0159970828559885
2018-12-30,9.82370820668693,0.0,15.71178082191781,6.704545454545454,19.38447952270508,1.2575804069882621,9298600,0.007584195928284776,0.0133415292283099
