date,Ozempic,semaglutide,Novo Nordisk,weight loss drug
2018-01-01,0.0,0.0,14.0,6.0
2018-01-02,0.0,0.0,43.0,6.0
2018-01-03,0.0,0.0,50.0,11.0
2018-01-04,0.0,4.0,44.0,9.0
2018-01-05,0.0,0.0,46.0,6.0
2018-01-06,0.0,0.0,24.0,0.0
2018-01-07,0.0,0.0,20.0,4.0
2018-01-08,0.0,0.0,68.0,7.0
2018-01-09,0.0,4.0,52.0,8.0
2018-01-10,0.0,0.0,52.0,7.0
2018-01-11,0.0,0.0,50.0,6.0
2018-01-12,0.0,0.0,45.0,8.0
2018-01-13,0.0,0.0,15.0,0.0
2018-01-14,0.0,0.0,25.0,4.0
2018-01-15,0.0,4.0,46.0,5.0
2018-01-16,0.0,0.0,47.0,6.0
2018-01-17,4.0,0.0,49.0,7.0
2018-01-18,0.0,0.0,45.0,5.0
2018-01-19,0.0,0.0,51.0,4.0
2018-01-20,0.0,0.0,20.0,5.0
2018-01-21,0.0,0.0,20.0,7.0
2018-01-22,0.0,0.0,50.0,3.0
2018-01-23,4.0,0.0,53.0,7.0
2018-01-24,5.0,0.0,47.0,5.0
2018-01-25,0.0,0.0,50.0,6.0
2018-01-26,0.0,0.0,43.0,5.0
2018-01-27,0.0,0.0,23.0,0.0
2018-01-28,0.0,0.0,26.0,4.0
2018-01-29,4.0,0.0,55.0,9.0
2018-01-30,0.0,0.0,54.0,7.0
2018-01-31,0.0,3.0,48.0,7.0
2018-02-01,0.0,4.0,100.0,5.0
2018-02-02,0.0,4.0,58.0,3.0
2018-02-03,0.0,0.0,27.0,4.0
2018-02-04,0.0,0.0,27.0,0.0
2018-02-05,0.0,0.0,55.0,4.0
2018-02-06,0.0,0.0,62.0,4.0
2018-02-07,0.0,0.0,54.0,6.0
2018-02-08,4.0,4.0,49.0,8.0
2018-02-09,6.0,3.0,48.0,5.0
2018-02-10,0.0,0.0,21.0,6.0
2018-02-11,0.0,0.0,21.0,6.0
2018-02-12,4.0,0.0,49.0,7.0
2018-02-13,5.0,6.0,50.0,6.0
